date,fips,value
2008-01-23,09,0.47023809523809523
2008-01-23,10,3.102040816326531
2008-01-23,11,0.2380952380952381
2008-01-23,12,53.1119220318371
2008-01-23,13,25.555734079038675
2008-01-23,15,40.39947810103138
2008-01-23,16,14.3739279656659
2008-01-23,17,7.113596212818207
2008-01-23,18,4.797074713649727
2008-01-23,19,10.7957536970742
2008-01-23,20,0.13635336207915516
2008-01-23,21,4.036173167424821
2008-01-23,22,65.23354588816674
2008-01-23,23,1.8573168678421283
2008-01-23,24,2.1813501040409196
2008-01-23,25,2.4202464202464204
2008-01-23,26,11.373046365809499
2008-01-23,27,3.215637175961087
2008-01-23,28,41.148930534242105
2008-01-23,29,0.9611891769143843
2008-01-23,30,10.369816591873912
2008-01-23,31,2.135337139673581
2008-01-23,32,9.755901543011756
